Customer	City	Channel	Segment	Urbanicity	Traffic	Traffic Index	Equipment (Y/N)	# of doors	Sales 2025 CS
10000	гкюрмх оъязжх	Hotels	Seasonal High Traffic	3	30422,86	High	Yes	6	0
10001	якзмвеб апъц	Qsr	Seasonal High Traffic	1	58764,25	High	Yes	0	0
10002	якзмвеб апъц	Qsr	Seasonal High Traffic	1	32763,5	High	Yes	0	0
10003	якзмвеб апъц	Qsr	Seasonal Low/Mid Traffic	1	23147,5	Medium	Yes	0	0
10004	якзмвеб апъц	Qsr	Seasonal High Traffic	1	34339,25	High	Yes	2	56
10005	бюпмю	Qsr	Seasonal Low/Mid Traffic	3	28459,38	High	No	0	0
10006	якзмвеб апъц	Cafe	Seasonal High Traffic	2	26445	High	Yes	2	32
10007	гкюрмх оъязжх	Hotels	Seasonal High Traffic	3	28857,75	High	Yes	0	23
10008	жюпебн	Supermarket	Residential	5	6741,54	Low	Yes	2	355,5
10009	аспцюя	Cafe	Urban High Traffic	5	25235	Medium	Yes	1	0
10010	аъкю	Qsr	Seasonal Low/Mid Traffic	4	14809,72	Medium	Yes	1,5	0
10011	яхмелнпеж	Bar	Rural Affordable	9	3428,37	Low	No	0	0
10012	пюбдю	Qsr	Seasonal Low/Mid Traffic	4	13419,33	Medium	No	0	39
10013	якзмвеб апъц	Hotels	Seasonal High Traffic	1	30445,46	High	Yes	6	616
10014	меяеазп	FSR	Residential	2	39256,8	High	Yes	1,5	14
10015	йпюмебн	FSR	Seasonal Low/Mid Traffic	5	12845,4	Medium	Yes	8,3	0
10016	аъкю	FSR	Seasonal Low/Mid Traffic	4	4592,46	Low	Yes	4	773
10017	кнгемеж	Bar	Seasonal Low/Mid Traffic	8	6549,67	Low	Yes	4,3	441,49
10018	кнгемеж	Bar	Seasonal Low/Mid Traffic	7	10547,6	Medium	Yes	2	703,81
10019	нагнп	Qsr	Seasonal Low/Mid Traffic	5	20410,83	Medium	Yes	1,5	122,417
10020	меяеазп	Cafe	Seasonal Low/Mid Traffic	2	8812,16	Low	Yes	0,7	24
10021	онлнпхе	FSR	Residential	5	16901,07	Medium	Yes	1	172
10022	бюпмю	Hotels	Seasonal Low/Mid Traffic	3	29633,28	High	Yes	0	2131,333
10023	бюпмю	Supermarket	Seasonal Low/Mid Traffic	3	34033	High	Yes	4,2	1040
10024	бюпмю	Supermarket	Seasonal Low/Mid Traffic	3	25782	High	Yes	5,7	1530,292
10025	пюбдю	Supermarket	Seasonal Low/Mid Traffic	4	12826,29	Medium	Yes	3,5	411
10026	янгнонк	Bar	Residential	5	8832,1	Low	No	0	0
10027	янгнонк	Bar	Seasonal Low/Mid Traffic	5	10665,57	Medium	No	0	621
10028	аспцюя	Cafe	Seasonal High Traffic	5	25909,05	High	Yes	1	0
10029	янгнонк	Bar	Seasonal Low/Mid Traffic	5	9291,81	Low	Yes	0	75
